SpecName,diam,organism,Note
Cordia sebestena,23.11,Fruit,
Cordia sebestena,24.56,Fruit,
Cordia sebestena,25.95,Fruit,
Cordia sebestena,25.58,Fruit,
Goetzea elegans,22.16,Fruit,
Goetzea elegans,19.81,Fruit,
Goetzea elegans,19.6,Fruit,
Goetzea elegans,21.3,Fruit,
Goetzea elegans,16.46,Fruit,
Goetzea elegans,21.92,Fruit,
Goetzea elegans,22.47,Fruit,
Goetzea elegans,19.4,Fruit,
Goetzea elegans,23.27,Fruit,
Goetzea elegans,23.81,Fruit,
Goetzea elegans,24.21,Fruit,
Goetzea elegans,22.06,Fruit,
Goetzea elegans,19.2,Fruit,
Goetzea elegans,20.46,Fruit,
Goetzea elegans,15.36,Fruit,
Goetzea elegans,23.63,Fruit,
Goetzea elegans,20.81,Fruit,
Goetzea elegans,20.02,Fruit,
Goetzea elegans,23.6,Fruit,
Goetzea elegans,19.2,Fruit,
Goetzea elegans,19.6,Fruit,
Goetzea elegans,22.2,Fruit,
Goetzea elegans,20.63,Fruit,
Goetzea elegans,19.4,Fruit,
Goetzea elegans,20.27,Fruit,
Goetzea elegans,23.74,Fruit,
Goetzea elegans,21.53,Fruit,
Goetzea elegans,16.61,Fruit,
Goetzea elegans,16.12,Fruit,
Goetzea elegans,17.12,Fruit,
Goetzea elegans,16.08,Fruit,
Goetzea elegans,24.28,Fruit,
Goetzea elegans,14.66,Fruit,
Goetzea elegans,16.38,Fruit,
Goetzea elegans,19.83,Fruit,
Goetzea elegans,18.47,Fruit,
Goetzea elegans,15.89,Fruit,
Goetzea elegans,18.14,Fruit,
Goetzea elegans,18.36,Fruit,
Goetzea elegans,18.05,Fruit,
Goetzea elegans,14.35,Fruit,
Pseudophoenix vinifera,20.67,Fruit,
Pseudophoenix vinifera,15.34,Fruit,
Pseudophoenix vinifera,19.02,Fruit,
Pseudophoenix vinifera,17.63,Fruit,
Pseudophoenix vinifera,18.09,Fruit,
Pseudophoenix vinifera,17.94,Fruit,
Pseudophoenix vinifera,17.11,Fruit,
Pseudophoenix vinifera,17.39,Fruit,
Pseudophoenix vinifera,21.47,Fruit,
Pseudophoenix vinifera,19.57,Fruit,
Pseudophoenix vinifera,21.77,Fruit,
Pseudophoenix vinifera,21.47,Fruit,
Syagrus amara,44.35,Fruit,
Syagrus amara,46.18,Fruit,
Syagrus amara,40.31,Fruit,
Syagrus amara,41.1,Fruit,
Syagrus amara,41.12,Fruit,
Syagrus amara,42.33,Fruit,
Syagrus amara,42.12,Fruit,
Syagrus amara,42.1,Fruit,
Syagrus amara,43.67,Fruit,
Syagrus amara,38.36,Fruit,
Syagrus amara,49.58,Fruit,
Syagrus amara,45.97,Fruit,
Syagrus amara,39.32,Fruit,
Syagrus amara,37.92,Fruit,
Syagrus amara,47.38,Fruit,
Syagrus amara,39.09,Fruit,
Syagrus amara,43.53,Fruit,
Syagrus amara,42.54,Fruit,
Syagrus amara,42.21,Fruit,
Syagrus amara,40.67,Fruit,
Syagrus amara,39.65,Fruit,
Syagrus amara,39.06,Fruit,
Syagrus amara,41.84,Fruit,
Syagrus amara,41.16,Fruit,
Syagrus amara,41.61,Fruit,
Syagrus amara,42.43,Fruit,
Syagrus amara,40.38,Fruit,
Theophrasta jussieui,47.89,Fruit,
Theophrasta jussieui,46.57,Fruit,
Theophrasta jussieui,40.53,Fruit,
Theophrasta jussieui,43.97,Fruit,
Theophrasta jussieui,55.75,Fruit,
Theophrasta jussieui,43.66,Fruit,
Theophrasta jussieui,39.39,Fruit,
Theophrasta jussieui,38.25,Fruit,
Theophrasta jussieui,41.33,Fruit,
Theophrasta jussieui,31.04,Fruit,
Theophrasta jussieui,48.16,Fruit,
Theophrasta jussieui,49,Fruit,
Theophrasta jussieui,39.43,Fruit,
Theophrasta jussieui,45.94,Fruit,
Theophrasta jussieui,33.49,Fruit,
Theophrasta jussieui,49.73,Fruit,
Theophrasta jussieui,38.34,Fruit,
Cyclura cornuta,40.4,Iguana,
Cyclura cornuta,43,Iguana,
Cyclura cornuta,25,Iguana,
Cyclura cornuta,26,Iguana,
Cyclura cornuta,41.2,Iguana,
Cyclura cornuta,25,Iguana,
Cyclura cornuta,29.6,Iguana,
Cyclura carinata,21,Iguana,
Cyclura carinata,26.8,Iguana,
Cyclura carinata,21,Iguana,
Cyclura carinata,24.9,Iguana,
Cyclura carinata,21.9,Iguana,
Cyclura carinata,22.5,Iguana,
Cyclura carinata,20.2,Iguana,
Cyclura carinata,21,Iguana,
Cyclura carinata,36.9,Iguana,
Cyclura carinata,34.6,Iguana,
Cyclura cychlura,37.3,Iguana,
Cyclura cychlura,36.4,Iguana,
Iguana delicatissima,41.6,Iguana,
Iguana delicatissima,37.5,Iguana,
Cyclura lewisi-nubila,60,Iguana,
Cyclura pinguis,70,Iguana,
Cyclura lewisi-nubila,50,Iguana,
Cyclura lewisi-nubila,50,Iguana,
Cyclura lewisi-nubila,50,Iguana,
Cyclura lewisi-nubila,50,Iguana,
Cyclura lewisi-nubila,60,Iguana,
Cyclura lewisi-nubila,40,Iguana,
Cyclura lewisi-nubila,40,Iguana,
Cyclura cornuta,80,Iguana,
Cyclura cornuta,60,Iguana,
Cyclura cornuta,60,Iguana,
Cyclura cornuta,80,Iguana,
Cyclura cornuta,70,Iguana,
Cyclura cornuta,75,Iguana,
Cyclura cornuta,80,Iguana,
Cyclura cornuta,100,Iguana,
Cyclura lewisi-nubila,80,Iguana,
Cyclura lewisi-nubila,90,Iguana,
Cyclura lewisi-nubila,80,Iguana,
Cyclura lewisi-nubila,80,Iguana,
Cyclura lewisi-nubila,80,Iguana,
Cyclura lewisi-nubila,110,Iguana,
Cyclura lewisi-nubila,60,Iguana,
Cyclura lewisi-nubila,90,Iguana,
Cyclura lewisi-nubila,50,Iguana,
Cyclura lewisi-nubila,70,Iguana,
Cyclura lewisi-nubila,50,Iguana,
Cyclura lewisi-nubila,60,Iguana,
Cyclura cornuta,120,Iguana,
Cyclura cornuta,140,Iguana,
Cyclura cornuta,100,Iguana,
Cyclura cornuta,80,Iguana,
Cyclura cornuta,80,Iguana,
Cyclura cornuta,100,Iguana,
Cyclura cornuta,70,Iguana,
Cyclura cornuta,80,Iguana,
Cyclura cornuta,100,Iguana,
Cyclura cornuta,80,Iguana,
Cyclura cornuta,110,Iguana,
Cyclura cornuta,80,Iguana,
Cyclura pinguis,80,Iguana,
Cyclura pinguis,90,Iguana,
Cyclura pinguis,100,Iguana,
Cyclura lewisi-nubila,85.6,Iguana,
Cyclura lewisi-nubila,56.68,Iguana,
Cyclura lewisi-nubila,55.4,Iguana,
Cyclura lewisi-nubila,68.14,Iguana,
Anolis alutaceus,6.65,Small_lizards,
Anolis alutaceus,5.66,Small_lizards,
Anolis augusticeps,7.44,Small_lizards,
Anolis augusticeps,7.12,Small_lizards,
Anolis augusticeps,7.43,Small_lizards,
Anolis augusticeps,4.83,Small_lizards,
Anolis augusticeps,5.75,Small_lizards,
Anolis augusticeps,6.63,Small_lizards,
Anolis augusticeps,7.15,Small_lizards,
Anolis augusticeps,5.88,Small_lizards,
Anolis augusticeps,7.45,Small_lizards,
Anolis augusticeps,6.26,Small_lizards,
Anolis argenteolus,5.17,Small_lizards,
Anolis argenteolus,6.4,Small_lizards,
Anolis aegillaceus,7.13,Small_lizards,
Anolis aegillaceus,7.81,Small_lizards,
Anolis aegillaceus,7.82,Small_lizards,
Anolis aegillaceus,5.98,Small_lizards,
Anolis armouri,8.84,Small_lizards,
Anolis armouri,6.16,Small_lizards,
Anolis armouri,11.72,Small_lizards,
Anolis armouri,6.43,Small_lizards,
Anolis armouri,10.23,Small_lizards,
Anolis armouri,8.1,Small_lizards,
Anolis armouri,10.52,Small_lizards,
Anolis armouri,8.87,Small_lizards,
Anolis armouri,9.15,Small_lizards,
Anolis armouri,12.67,Small_lizards,
Anolis armouri,8.69,Small_lizards,
Anolis armouri,9,Small_lizards,
Anolis armouri,9.12,Small_lizards,
Anolis armouri,12.08,Small_lizards,
Anolis armouri,11.51,Small_lizards,
Anolis armouri,7.9,Small_lizards,
Anolis armouri,8.33,Small_lizards,
Anolis armouri,11.9,Small_lizards,
Anolis armouri,9.17,Small_lizards,
Anolis armouri,13.66,Small_lizards,
Anolis armouri,8.9,Small_lizards,
Anolis armouri,9.62,Small_lizards,
Anolis armouri,12.13,Small_lizards,
Anolis armouri,11.6,Small_lizards,
Anolis armouri,11.2,Small_lizards,
Anolis armouri,7.45,Small_lizards,
Anolis armouri,12.39,Small_lizards,
Anolis armouri,8.49,Small_lizards,
Anolis armouri,8.7,Small_lizards,
Anolis armouri,8.34,Small_lizards,
Anolis armouri,8.9,Small_lizards,
Anolis armouri,6.1,Small_lizards,
Anolis armouri,7.56,Small_lizards,
Anolis armouri,8.52,Small_lizards,
Anolis armouri,11.58,Small_lizards,
Anolis armouri,11.58,Small_lizards,
Anolis armouri,9.87,Small_lizards,
Anolis armouri,8.94,Small_lizards,
Anolis armouri,5.57,Small_lizards,
Anolis armouri,7.8,Small_lizards,
Anolis armouri,5.66,Small_lizards,
Anolis armouri,4.57,Small_lizards,
Anolis armouri,6.53,Small_lizards,
Anolis armouri,7.14,Small_lizards,
Anolis armouri,6.74,Small_lizards,
Anolis armouri,9.74,Small_lizards,
Anolis armouri,8.42,Small_lizards,
Anolis armouri,10.58,Small_lizards,
Anolis armouri,9.03,Small_lizards,
Anolis armouri,7.12,Small_lizards,
Anolis armouri,6.13,Small_lizards,
Anolis armouri,6.81,Small_lizards,
Anolis armouri,8.46,Small_lizards,
Anolis armouri,6.51,Small_lizards,
Anolis armouri,7.36,Small_lizards,
Anolis armouri,6.51,Small_lizards,
Anolis armouri,8.08,Small_lizards,
Anolis armouri,6.92,Small_lizards,
Anolis armouri,7.21,Small_lizards,
Anolis armouri,9.31,Small_lizards,
Anolis armouri,7.7,Small_lizards,
Anolis armouri,7.79,Small_lizards,
Anolis armouri,5.49,Small_lizards,
Anolis armouri,7.03,Small_lizards,
Anolis armouri,6.69,Small_lizards,
Anolis armouri,7.09,Small_lizards,
Anolis armouri,8.04,Small_lizards,
Anolis armouri,9.35,Small_lizards,
Anolis armouri,10.24,Small_lizards,
Anolis armouri,9.44,Small_lizards,
Anolis armouri,12.29,Small_lizards,
Anolis armouri,14.29,Small_lizards,
Anolis armouri,15.62,Small_lizards,
Anolis armouri,10.51,Small_lizards,
Anolis armouri,12.19,Small_lizards,
Anolis armouri,11.29,Small_lizards,
Anolis armouri,13.37,Small_lizards,
Anolis armouri,10.46,Small_lizards,
Anolis armouri,12.88,Small_lizards,
Anolis armouri,9.92,Small_lizards,
Anolis armouri,6.96,Small_lizards,
Anolis armouri,6.05,Small_lizards,
Anolis armouri,12.8,Small_lizards,
Anolis armouri,7.8,Small_lizards,
Anolis armouri,9.61,Small_lizards,
Anolis armouri,12.81,Small_lizards,
Anolis armouri,10.72,Small_lizards,
Anolis armouri,11.82,Small_lizards,
